Palabra              Idf                 
vigil               : 0.47712125471966244 
pud                 : 0.17609125905568124 
doctor              : 0.47712125471966244 
dobl                : 0.47712125471966244 
ido                 : 0.17609125905568124 
requisit            : 0.47712125471966244 
program             : 0.0                 
becerr              : 0.47712125471966244 
acab                : 0.17609125905568124 
burl                : 0.47712125471966244 
enfrent             : 0.47712125471966244 
phd                 : 0.47712125471966244 
enferm              : 0.47712125471966244 
recuerd             : 0.17609125905568124 
verd                : 0.47712125471966244 
dispuest            : 0.47712125471966244 
taxi                : 0.47712125471966244 
alerg               : 0.47712125471966244 
lean                : 0.47712125471966244 
tempran             : 0.47712125471966244 
groser              : 0.47712125471966244 
plus                : 0.47712125471966244 
canadiens           : 0.47712125471966244 
implement           : 0.47712125471966244 
hil                 : 0.47712125471966244 
aca                 : 0.17609125905568124 
curricul            : 0.47712125471966244 
habil               : 0.0                 
tesis               : 0.17609125905568124 
her                 : 0.47712125471966244 
reconoc             : 0.47712125471966244 
seman               : 0.17609125905568124 
labor               : 0.47712125471966244 
alza                : 0.47712125471966244 
esfuerz             : 0.47712125471966244 
financ              : 0.47712125471966244 
incluyer            : 0.47712125471966244 
mañan               : 0.47712125471966244 
prob                : 0.47712125471966244 
señ                 : 0.47712125471966244 
pes                 : 0.47712125471966244 
materi              : 0.0                 
sed                 : 0.47712125471966244 
chever              : 0.17609125905568124 
opcion              : 0.47712125471966244 
se                  : 0.0                 
procur              : 0.47712125471966244 
atmosfer            : 0.47712125471966244 
busc                : 0.0                 
mur                 : 0.47712125471966244 
duerm               : 0.17609125905568124 
sal                 : 0.17609125905568124 
traig               : 0.47712125471966244 
lanz                : 0.47712125471966244 
content             : 0.17609125905568124 
distanci            : 0.47712125471966244 
persegu             : 0.47712125471966244 
darm                : 0.17609125905568124 
dropbox             : 0.47712125471966244 
pued                : 0.0                 
enoj                : 0.47712125471966244 
comet               : 0.17609125905568124 
comienz             : 0.47712125471966244 
dimension           : 0.47712125471966244 
univers             : 0.17609125905568124 
bugs                : 0.47712125471966244 
justifiquel         : 0.47712125471966244 
real                : 0.47712125471966244 
tom                 : 0.0                 
